Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA
6,27,20,11:30:00,-0.01,49.1,198.56,3.401,199.05,3.049,0,1.39496,1.9126,1.39479,1.91231
6,27,20,12:00:00,-0.13,49.6,199.36,3.312,205.94,5.543,0,1.39533,1.91189,1.39479,1.91164
6,27,20,12:30:00,0.08,49.6,202.34,3.875,198.01,6.127,0,1.39554,1.91214,1.39496,1.91177
6,27,20,13:00:00,-0.16,49.7,191.66,3.969,200.11,2.532,0,1.39513,1.9126,1.39525,1.91214
6,27,20,13:30:00,0.02,49.4,195.23,3.456,194.44,3.668,0,1.3955,1.91289,1.39471,1.91248
6,27,20,14:00:00,-0.04,49.5,192.3,3.461,194.49,3.972,0,1.39513,1.91268,1.39483,1.91223
6,27,20,14:30:00,-0.06,49.8,190.1,2.551,193.36,2.594,0,1.39517,1.9121,1.39525,1.9121
6,27,20,15:00:00,-0.14,49.9,184.87,1.461,192.03,5.46,0,1.39433,1.91198,1.39454,1.9121
6,27,20,15:30:00,-0.1,50.1,185.33,4.538,190.44,4.848,0,1.39475,1.91214,1.39496,1.91185
6,27,20,16:00:00,0.03,50.1,183.22,1.255,181.91,4.612,0,1.39433,1.91168,1.39463,1.91185
6,27,20,16:30:00,-0.04,49.4,187.49,4.261,189.8,4.51,0,1.39417,1.91231,1.39463,1.91252
6,27,20,17:00:00,-0.13,49.2,184.05,3.167,190.95,4.138,0,1.39417,1.91264,1.39467,1.91298
6,27,20,17:30:00,0.07,48.4,192.28,3.155,188.52,3.822,0,1.39408,1.91348,1.39383,1.91306
6,27,20,18:00:00,-0.07,47,193.92,3.706,197.71,4.554,0,1.39292,1.91377,1.39317,1.91373
6,27,20,18:30:00,0.02,40.1,241.79,2.808,240.51,1.918,0,1.39125,1.91789,1.39179,1.91823
6,27,20,19:00:00,0.01,36.9,265.06,2.588,264.58,2.853,0,1.391,1.92089,1.39121,1.92039
6,27,20,19:30:00,-0.03,34.2,276.79,4.327,278.28,3.931,0,1.39067,1.9226,1.39058,1.92298
6,27,20,20:00:00,-0.01,32.9,284.96,1.985,285.36,2.804,0,1.39025,1.92402,1.39025,1.9236
6,27,20,20:30:00,0.06,29.8,289.83,2.425,286.68,4.685,0,1.38883,1.92702,1.38888,1.92623
6,27,20,21:00:00,-0.03,27.6,296.19,2.287,297.65,3.288,0,1.38821,1.92885,1.38846,1.92864
6,27,20,21:30:00,-0.11,27,297.99,3.263,303.45,2.288,0,1.38813,1.92939,1.38825,1.92923
6,27,20,22:00:00,0.01,26.6,301.66,3.747,301.24,3.147,0,1.38813,1.93031,1.38817,1.93006
6,27,20,22:30:00,-0.1,25.8,299.55,2.303,304.57,4.004,0,1.38754,1.93077,1.38754,1.93039
6,27,20,23:00:00,0.01,25.1,304.93,1.019,304.58,1.951,0,1.38783,1.93168,1.38796,1.93177
6,27,20,23:30:00,-0.09,24.9,307.48,3.32,312.22,3.973,0,1.38858,1.93206,1.38808,1.93193
6,28,20,0:00:00,-0.02,24.9,310.98,0.866,311.92,4.153,0,1.38863,1.93243,1.38829,1.9321
6,28,20,0:30:00,-0.06,24.6,309.87,1.702,313.1,3.325,0,1.38829,1.93256,1.38821,1.93252
6,28,20,1:00:00,-0.06,24.3,311.04,1.659,314.16,1.586,0,1.38804,1.93256,1.38817,1.93273
6,28,20,1:30:00,-0.04,24,313,1.678,315.13,2.893,0,1.38829,1.93314,1.388,1.9326
6,28,20,2:00:00,-0.08,23.8,312.42,4.409,316.37,3.495,0,1.38817,1.9336,1.38833,1.93314
6,28,20,2:30:00,-0.07,23.4,312.68,3.018,316.25,2.596,0,1.38792,1.93352,1.38808,1.93318
6,28,20,3:00:00,-0.07,23.4,317.83,2.975,321.54,4.668,0,1.38821,1.93368,1.38817,1.93343
6,28,20,3:30:00,-0.11,23.7,318.97,3.266,324.84,2.379,0,1.38896,1.93356,1.38879,1.93343
6,28,20,4:00:00,-0.1,23.9,317.39,2.243,322.82,3.723,0,1.38904,1.93414,1.389,1.93335
6,28,20,4:30:00,-0.02,23.4,318.62,2.108,319.92,1.214,0,1.38833,1.93373,1.38867,1.9341
6,28,20,5:00:00,-0.04,23.1,319.56,2.571,321.54,1.713,0,1.38817,1.93427,1.38808,1.93381
6,28,20,5:30:00,-0.1,23,320.74,2.313,325.78,2.371,0,1.38825,1.93418,1.38854,1.93406
6,28,20,6:00:00,-0.03,23.1,327.09,2.047,328.88,1.676,0,1.38879,1.93418,1.38904,1.93423
6,28,20,6:30:00,-0.11,24.3,322.96,3.822,328.46,3.139,0,1.38954,1.93343,1.38954,1.93343
6,28,20,7:00:00,-0.13,27.6,317.69,3.107,324.61,5.241,0,1.39163,1.93118,1.39192,1.93148
6,28,20,7:30:00,-0.15,27.6,309.58,3.711,317.54,5.289,0,1.39092,1.93089,1.39063,1.93052
6,28,20,8:00:00,-0.24,31.9,293.43,1.801,305.72,7.274,0,1.39279,1.92781,1.39292,1.92781
6,28,20,8:30:00,-0.2,34.4,280.06,1.756,290.37,5.648,0,1.3935,1.9261,1.39354,1.92568
6,28,20,9:00:00,-0.17,35.9,270.76,3.09,279.79,4.798,0,1.39392,1.92489,1.39388,1.92477
6,28,20,9:30:00,-0.13,36.6,265.57,1.762,272.5,2.752,0,1.39383,1.92439,1.39363,1.92398
6,28,20,10:00:00,-0.13,37.8,262.26,2.847,268.86,3.769,0,1.39338,1.92239,1.39371,1.92277
6,28,20,10:30:00,-0.16,38.8,254.26,2.095,262.75,3.939,0,1.39383,1.92218,1.3935,1.92143
6,28,20,11:00:00,-0.08,39.6,252.76,5.832,256.67,4.685,0,1.39408,1.92093,1.39383,1.92068
6,28,20,11:30:00,-0.18,40.7,243.96,4.199,253.46,4.877,0,1.39442,1.92002,1.39383,1.91973
6,28,20,12:00:00,-0.12,41.2,239.87,3.328,246.23,4.939,0,1.39404,1.9201,1.39396,1.91989
6,28,20,12:30:00,-0.16,41.8,236.56,4.212,244.69,3.55,0,1.39421,1.91918,1.39421,1.9191
6,28,20,13:00:00,-0.07,42.4,232.26,5.078,235.65,5.214,0,1.39504,1.91927,1.39479,1.9191
6,28,20,13:30:00,-0.21,43.1,222.15,2.827,233.25,3.33,0,1.39396,1.91839,1.39463,1.91839
6,28,20,14:00:00,-0.11,43.8,218.51,1.965,224.31,4.302,0,1.39438,1.91835,1.39446,1.91818
6,28,20,14:30:00,-0.1,44.1,210.38,8.183,215.44,3.512,0,1.39458,1.91877,1.39438,1.91835
6,28,20,15:00:00,-0.11,44.2,206.04,1.862,211.58,4,0,1.39425,1.91868,1.39463,1.91852
6,28,20,15:30:00,0.04,44.1,211.68,5.077,209.5,2.497,0,1.394,1.91848,1.39429,1.91877
6,28,20,16:00:00,-0.11,44.4,204.9,2.05,210.76,3.191,0,1.39429,1.91864,1.3945,1.91852
6,28,20,16:30:00,-0.08,44.4,211.6,4.912,215.78,8.373,0,1.39479,1.91843,1.3945,1.91848
6,28,20,17:00:00,-0.06,44.2,206.55,4.007,209.67,2.012,0,1.39383,1.91818,1.39463,1.91881
6,28,20,17:30:00,-0.07,43.3,213.65,3.781,217.32,3.226,0,1.39417,1.91877,1.39363,1.91868
6,28,20,18:00:00,-0.02,42,223.01,3.802,223.82,3.026,0,1.39308,1.91898,1.39329,1.91889
6,28,20,18:30:00,-0.02,37.5,249.72,5.69,250.84,3.853,0,1.39146,1.92164,1.39188,1.92139
6,28,20,19:00:00,0.12,33.8,276.89,2.703,270.87,3.153,0,1.39167,1.9251,1.39096,1.92464
6,28,20,19:30:00,-0.06,34.6,276.48,3.497,279.51,3.005,0,1.39167,1.92431,1.39238,1.92423
6,28,20,20:00:00,0.05,30.6,284.84,3.66,282.4,4.021,0,1.38954,1.92664,1.38975,1.92656
6,28,20,20:30:00,-0.04,27,290.76,2.351,293.01,2.563,0,1.38779,1.92998,1.38838,1.93023
6,28,20,21:00:00,-0.02,25.3,298.52,1.303,299.35,1.95,0,1.38763,1.93177,1.388,1.93168
6,28,20,21:30:00,0,24.4,303.43,4.68,303.41,4.226,0,1.38783,1.93285,1.38704,1.93256
6,28,20,22:00:00,-0.01,23.9,306.79,3.047,307.55,3.477,0,1.38804,1.93318,1.38817,1.93352
6,28,20,22:30:00,-0.19,24,306.62,3.185,316.44,2.869,0,1.38796,1.93377,1.38875,1.93314
6,28,20,23:00:00,-0.07,23.9,313.18,1.789,316.63,3.642,0,1.38863,1.93368,1.38842,1.93343
6,28,20,23:30:00,-0.08,23.2,312.24,3.772,316.29,1.765,0,1.38717,1.93339,1.38775,1.93335
6,29,20,0:00:00,-0.05,22.2,316.56,2.922,319.14,1.734,0,1.38671,1.93423,1.38717,1.93393
6,29,20,0:30:00,-0.13,21.2,314.76,2.52,321.51,2.456,0,1.38629,1.93493,1.38658,1.93448
6,29,20,1:00:00,-0.12,20.5,321.46,2.969,327.54,2.334,0,1.38617,1.9356,1.38613,1.93481
6,29,20,1:30:00,-0.11,19.8,326.48,2.295,331.97,0.539,0,1.38604,1.93602,1.38638,1.93581
6,29,20,2:00:00,0.02,19.3,328.27,2.111,327.27,2.889,0,1.38633,1.93677,1.38583,1.93648
6,29,20,2:30:00,-0.12,18.9,330.62,3.326,336.75,2.877,0,1.38554,1.93685,1.38592,1.93623
6,29,20,3:00:00,-0.09,18.8,331.79,2.188,336.4,2.883,0,1.38604,1.93735,1.38613,1.93685
6,29,20,3:30:00,-0.04,18.6,333.68,1.395,335.89,1.851,0,1.38596,1.93714,1.38583,1.93689
6,29,20,4:00:00,-0.03,18.3,334.61,2.284,335.99,1.485,0,1.38608,1.93781,1.386,1.93718
6,29,20,4:30:00,-0.15,18.3,333,2.149,340.59,1.926,0,1.38596,1.93764,1.38608,1.93698
6,29,20,5:00:00,-0.04,18,335.99,4.032,338.22,1.597,0,1.38583,1.93835,1.3855,1.93731
6,29,20,5:30:00,-0.02,17.8,336.78,1.359,338.07,1.256,0,1.38583,1.93818,1.38596,1.93818
6,29,20,6:00:00,-0.08,18.2,336.86,2.056,341.15,3.055,0,1.38658,1.93831,1.38663,1.93831
6,29,20,6:30:00,-0.22,19.7,337.1,3.252,348.3,5.196,0,1.38788,1.93727,1.38742,1.93693
6,29,20,7:00:00,-0.27,25.9,333.81,2.611,347.83,7.833,0,1.39183,1.93239,1.39133,1.93223
6,29,20,7:30:00,-0.19,27.4,322.23,2.175,332.28,4.412,0,1.39121,1.92998,1.39092,1.92977
6,29,20,8:00:00,-0.23,33.9,307.34,1.712,319.44,7.571,0,1.39433,1.92518,1.39396,1.92489
6,29,20,8:30:00,-0.12,38.8,277.45,5.416,283.52,5.987,0,1.39542,1.92123,1.39488,1.92143
6,29,20,9:00:00,-0.19,41.9,262.2,3.368,272.04,3.924,0,1.39571,1.91906,1.39563,1.91852
6,29,20,9:30:00,-0.13,43.8,229.36,1.756,236.23,4.178,0,1.39525,1.91843,1.39542,1.91852
6,29,20,10:00:00,-0.08,45.7,214.53,3.507,218.54,5.27,0,1.39567,1.91681,1.39546,1.91698
6,29,20,10:30:00,-0.14,47.2,199.55,4.517,206.75,5.562,0,1.39504,1.91539,1.39529,1.91552
6,29,20,11:00:00,0.04,47.5,202.37,6.102,200.25,4.756,0,1.39596,1.91539,1.39492,1.91552
6,29,20,11:30:00,-0.07,48.1,202.47,4.934,205.86,4.579,0,1.39488,1.91373,1.39496,1.91423
6,29,20,12:00:00,-0.13,48.8,200.84,5.859,207.56,7.377,0,1.39471,1.91289,1.39508,1.91273
6,29,20,12:30:00,-0.05,49.2,190.92,2.275,193.53,2.942,0,1.39521,1.91327,1.39517,1.91318
6,29,20,13:00:00,-0.02,50,186.02,1.804,187.21,3.558,0,1.39538,1.91285,1.39488,1.91264
6,29,20,13:30:00,-0.09,50.7,180.58,3.819,185.04,6.105,0,1.39521,1.91185,1.39513,1.91206
6,29,20,14:00:00,-0.07,51.3,176.03,2.656,179.91,6.255,0,1.39513,1.91122,1.39496,1.91127
6,29,20,14:30:00,-0.24,52.1,164.12,3.629,176.35,7.561,0,1.39492,1.9106,1.39488,1.91064
6,29,20,15:00:00,-0.19,53,159.13,3.169,169.14,3.936,0,1.3945,1.90964,1.39521,1.90973
6,29,20,15:30:00,-0.19,53.2,152.56,3.207,162.38,4.423,0,1.39463,1.91006,1.39475,1.90968
6,29,20,16:00:00,-0.09,53.5,151.59,2.356,156.48,4.609,0,1.395,1.91002,1.39488,1.91014
6,29,20,16:30:00,-0.26,53.2,143.38,6.582,156.85,5.051,0,1.39408,1.91081,1.39475,1.91018
6,29,20,17:00:00,-0.04,52.5,146.7,4.066,149.01,1.247,0,1.39421,1.91118,1.39438,1.91106
6,29,20,17:30:00,-0.01,52,151.26,2.573,151.59,3.099,0,1.39417,1.91177,1.39458,1.91156
6,29,20,18:00:00,-0.02,50.9,157.98,3.697,159.19,2.727,0,1.39467,1.91285,1.39429,1.91218
6,29,20,18:30:00,0.08,46.2,173.8,3.297,169.45,2.899,0,1.39283,1.91673,1.39233,1.91627
6,29,20,19:00:00,0.03,41.6,220.38,2.233,218.65,5.344,0,1.39263,1.91927,1.39308,1.91914
6,29,20,19:30:00,0.04,42.8,219.72,3.844,217.79,4.278,0,1.3935,1.91848,1.39317,1.91881
6,29,20,20:00:00,-0.01,38.4,244.57,4.838,245.22,2.726,0,1.39104,1.92064,1.39167,1.92031
6,29,20,20:30:00,0.09,33.6,264.81,3.376,260.25,2.161,0,1.38996,1.92431,1.38963,1.92423
6,29,20,21:00:00,-0.05,31.2,273.97,1.618,276.83,4.514,0,1.38963,1.92677,1.38925,1.92614
6,29,20,21:30:00,-0.05,30.1,281.16,3.955,283.51,1.736,0,1.38933,1.92802,1.38967,1.92793
6,29,20,22:00:00,-0.02,29.6,284.48,2.966,285.28,2.295,0,1.38954,1.92843,1.38963,1.9286
6,29,20,22:30:00,-0.04,29.3,289.69,1.722,291.74,1.595,0,1.38988,1.92877,1.38996,1.92856
6,29,20,23:00:00,-0.07,28.3,290.48,2.807,293.91,3.024,0,1.38879,1.92935,1.3895,1.92927
6,29,20,23:30:00,-0.06,27.3,295.42,4.908,298.78,3.816,0,1.38846,1.92998,1.38892,1.92956
6,30,20,0:00:00,-0.09,26.8,308.91,5.299,313.79,3.227,0,1.38933,1.92956,1.38896,1.92927
6,30,20,0:30:00,-0.03,25.6,312.29,1.713,313.9,3.952,0,1.38804,1.93018,1.38833,1.92993
6,30,20,1:00:00,-0.07,24.9,318.75,2.231,322.52,1.738,0,1.38833,1.93106,1.38783,1.93027
6,30,20,1:30:00,-0.09,24.1,319.03,2.502,323.68,3.653,0,1.3875,1.93152,1.38783,1.93081
6,30,20,2:00:00,-0.11,23.3,322.29,3.33,328.18,3.463,0,1.38725,1.93206,1.38771,1.93152
6,30,20,2:30:00,-0.03,22.7,326.64,2.101,328.29,2.568,0,1.38742,1.93277,1.38729,1.93206
6,30,20,3:00:00,-0.08,22.3,323.78,2.715,327.86,4.468,0,1.387,1.93364,1.38729,1.93356
6,30,20,3:30:00,-0.05,22.1,328.47,1.138,331.18,2.709,0,1.38729,1.93364,1.38708,1.93323
6,30,20,4:00:00,-0.06,21.6,331.91,3.335,335.2,1.054,0,1.38671,1.93364,1.38688,1.9331
6,30,20,4:30:00,-0.1,21.3,327.91,4.625,333.09,1.451,0,1.38692,1.93402,1.38696,1.93414
6,30,20,5:00:00,-0.11,21,330.05,2.862,335.59,1.518,0,1.38688,1.93464,1.38688,1.93406
6,30,20,5:30:00,-0.09,20.8,333.38,4.119,338.29,2.215,0,1.38692,1.93498,1.38721,1.93468
6,30,20,6:00:00,-0.1,21.2,336.49,1.733,341.45,3.451,0,1.38771,1.93477,1.38738,1.93448
6,30,20,6:30:00,-0.14,22.3,333.8,2.626,341.11,3.987,0,1.38854,1.93418,1.38838,1.93389
6,30,20,7:00:00,-0.23,28.6,323.8,2.963,335.53,6.761,0,1.39246,1.92973,1.39213,1.92939
6,30,20,7:30:00,-0.3,30,309.98,1.789,325.77,7.291,0,1.39129,1.92748,1.39158,1.92743
6,30,20,8:00:00,-0.31,36.1,286.27,1.857,302.35,9.063,0,1.39417,1.92314,1.39408,1.92314
6,30,20,8:30:00,-0.14,41,248.7,1.163,255.86,4.213,0,1.39479,1.92027,1.395,1.92039
6,30,20,9:00:00,-0.16,44,215.6,2.585,223.84,5.195,0,1.39525,1.91893,1.395,1.91885
6,30,20,9:30:00,-0.12,46.1,198.96,3.666,205.35,5.626,0,1.39496,1.91689,1.39504,1.91693
6,30,20,10:00:00,-0.11,48.1,183.41,3.16,189.12,4.291,0,1.39496,1.91539,1.39517,1.91564
6,30,20,10:30:00,-0.21,49.7,162.45,3.314,173.36,9.003,0,1.39475,1.91489,1.39458,1.91448
6,30,20,11:00:00,-0.03,50.6,167.99,2.171,169.6,7.409,0,1.39471,1.91298,1.39471,1.91335
6,30,20,11:30:00,-0.07,51.9,168.16,5.115,171.73,3.71,0,1.39567,1.91127,1.39542,1.91118
6,30,20,12:00:00,-0.03,52.1,162.49,4.983,164.2,4.43,0,1.39504,1.91085,1.39517,1.91152
6,30,20,12:30:00,-0.11,52.4,155.55,2.874,161.25,2.724,0,1.395,1.91102,1.39492,1.91106
6,30,20,13:00:00,-0.11,52,150,3.232,155.9,1.852,0,1.39504,1.91264,1.39492,1.91227
6,30,20,13:30:00,0.02,52.3,157.86,4.183,156.93,3.018,0,1.39496,1.91156,1.39471,1.91152
6,30,20,14:00:00,-0.12,52.9,151.87,6.055,158.32,5.063,0,1.3945,1.91035,1.39521,1.91064
6,30,20,14:30:00,-0.2,53.7,133.99,2.968,144.15,5.863,0,1.3945,1.91068,1.39429,1.91056
6,30,20,15:00:00,-0.15,55,128.85,2.091,136.46,8.678,0,1.39467,1.90947,1.39463,1.90981
6,30,20,15:30:00,-0.14,55.1,123.56,1.746,130.9,5.969,0,1.39479,1.90985,1.39446,1.90947
6,30,20,16:00:00,-0.07,54.5,120.62,4.067,124.43,2.386,0,1.39433,1.91106,1.39442,1.91043
6,30,20,16:30:00,-0.03,53.4,123.56,3.931,124.99,3.354,0,1.39404,1.91193,1.39413,1.91218
6,30,20,17:00:00,-0.03,53.2,127.36,4.336,128.97,2.913,0,1.39458,1.91231,1.39417,1.91214
6,30,20,17:30:00,-0.14,53,133.27,5.787,140.38,3.049,0,1.39421,1.91193,1.39438,1.91143
6,30,20,18:00:00,-0.06,51.5,137.11,4.801,140.21,5.595,0,1.39383,1.9126,1.39446,1.91285
6,30,20,18:30:00,0.03,46.2,151.57,3.064,149.98,2.72,0,1.39213,1.91798,1.39179,1.91764
6,30,20,19:00:00,-0.09,41.8,200.64,1.8,205.06,2.273,0,1.39225,1.92023,1.39296,1.92052
6,30,20,19:30:00,-0.04,43,200.27,2.6,202.23,3.098,0,1.39317,1.91939,1.39304,1.91964
6,30,20,20:00:00,0.07,38.4,231.96,5.206,228.38,2.219,0,1.391,1.92081,1.39058,1.92106
6,30,20,20:30:00,0.05,33.7,252.92,2.894,250.4,2.216,0,1.38967,1.92506,1.38988,1.92502
6,30,20,21:00:00,0,31,267.62,3.277,267.55,2.475,0,1.38929,1.92743,1.38892,1.92673
6,30,20,21:30:00,-0.01,29,275.07,2.648,275.71,2.086,0,1.38833,1.92873,1.38833,1.92852
6,30,20,22:00:00,0.03,27.8,283.17,4.642,281.67,1.78,0,1.3885,1.93043,1.38833,1.92985
6,30,20,22:30:00,-0.06,27.1,285.65,1.963,288.66,1.987,0,1.38813,1.93064,1.38838,1.93085
6,30,20,23:00:00,-0.05,26.1,289.04,3.358,291.83,2.919,0,1.38808,1.93123,1.38758,1.93077
6,30,20,23:30:00,0.02,24.8,300.63,3.75,299.77,3.597,0,1.38746,1.93168,1.38738,1.93181
7,1,20,0:00:00,-0.1,23.5,297.06,2.542,302.16,2.36,0,1.38642,1.93302,1.38688,1.93327
7,1,20,0:30:00,0.01,22.7,307.08,2.306,306.51,2.712,0,1.38658,1.93352,1.38646,1.93368
7,1,20,1:00:00,0,21.9,315.43,4.041,315.37,2.822,0,1.38696,1.93414,1.38663,1.93385
7,1,20,1:30:00,-0.07,21.3,316.16,1.312,319.61,1.422,0,1.38625,1.93468,1.38621,1.93423
7,1,20,2:00:00,-0.09,20.8,314.65,2.877,319.39,5.566,0,1.38617,1.93535,1.38617,1.93535
7,1,20,2:30:00,-0.03,20.4,320.58,1.202,322.03,3.349,0,1.38617,1.93573,1.38596,1.9356
7,1,20,3:00:00,-0.07,20.1,323.68,3.49,327.56,2.54,0,1.38654,1.93589,1.38625,1.93552
7,1,20,3:30:00,-0.1,19.7,321.36,1.692,326.48,0.707,0,1.38633,1.93677,1.38621,1.93623
7,1,20,4:00:00,-0.02,19.5,325.07,3.049,326,1.044,0,1.38625,1.9371,1.38629,1.93693
7,1,20,4:30:00,-0.08,19.4,326.08,2.781,330.03,2.747,0,1.38638,1.9371,1.38621,1.93681
7,1,20,5:00:00,-0.07,19.2,329.48,2.665,333.06,2.096,0,1.38596,1.93677,1.38604,1.93656
7,1,20,5:30:00,-0.08,19,328.35,3.479,332.42,2.262,0,1.38588,1.93702,1.38621,1.93718
7,1,20,6:00:00,-0.06,19.1,329.21,4.147,332.17,1.793,0,1.3865,1.93743,1.38625,1.93698
7,1,20,6:30:00,-0.17,20.3,335.1,2.406,343.74,4.062,0,1.38783,1.93643,1.38779,1.93623
7,1,20,7:00:00,-0.22,26.1,325.86,3.68,337.12,7.935,0,1.39125,1.93214,1.39113,1.93198
7,1,20,7:30:00,-0.17,27.7,313.36,1.98,322.08,8.291,0,1.39054,1.92985,1.39054,1.92998
7,1,20,8:00:00,-0.31,33.5,289.37,4.485,305.67,7.297,0,1.39333,1.92593,1.39317,1.9256
7,1,20,8:30:00,-0.14,38.1,261.14,2.85,268.66,8.126,0,1.39429,1.92277,1.39388,1.92298
7,1,20,9:00:00,-0.24,41.7,222.6,3.294,234.95,9.351,0,1.39458,1.92127,1.39467,1.9211
7,1,20,9:30:00,-0.09,43.5,205.98,3.282,210.56,3.693,0,1.39483,1.92031,1.39488,1.92056
7,1,20,10:00:00,-0.11,44.6,195.7,5.047,201.17,6.426,0,1.39483,1.91964,1.3945,1.91948
7,1,20,10:30:00,-0.18,45.8,186.61,3.228,195.79,5.089,0,1.39496,1.91835,1.395,1.91873
7,1,20,11:00:00,-0.07,46.9,181.21,4.333,184.79,3.885,0,1.39463,1.9171,1.39438,1.91693
7,1,20,11:30:00,-0.05,47.7,177.92,2.971,180.56,7.033,0,1.39475,1.91664,1.39454,1.91639
7,1,20,12:00:00,-0.15,48.8,172.88,2.249,180.46,4.898,0,1.39467,1.91485,1.3945,1.91493
7,1,20,12:30:00,-0.12,49.9,166.37,2.728,172.8,4.51,0,1.39508,1.91418,1.39496,1.91431
7,1,20,13:00:00,-0.12,50.7,161.37,3.909,167.36,2.76,0,1.39504,1.91331,1.39533,1.91368
7,1,20,13:30:00,-0.1,51.5,154.3,2.005,159.62,7.349,0,1.39492,1.91268,1.39517,1.91289
7,1,20,14:00:00,-0.06,52.2,152.35,3.044,155.38,4.817,0,1.39504,1.91218,1.39479,1.9121
7,1,20,14:30:00,-0.11,52.9,144.13,2.327,149.95,3.263,0,1.39508,1.91198,1.39542,1.91172
7,1,20,15:00:00,-0.19,53.4,136.56,0.772,146.32,2.282,0,1.39496,1.91172,1.395,1.91102
7,1,20,15:30:00,-0.12,53.5,132.36,5.126,138.74,5.551,0,1.39525,1.9116,1.39471,1.9111
7,1,20,16:00:00,-0.19,53.4,125.54,0.507,135.24,3.515,0,1.39425,1.91185,1.39483,1.9116
7,1,20,16:30:00,-0.06,52.8,135.23,3.494,138.18,3.712,0,1.39421,1.91172,1.39454,1.91239
7,1,20,17:00:00,-0.01,52.1,131.19,3.99,131.77,2.922,0,1.39413,1.91314,1.39454,1.9136
7,1,20,17:30:00,0.04,51.6,143.65,5.583,141.6,2.85,0,1.39508,1.91343,1.39421,1.91314
7,1,20,18:00:00,0,50.3,141.37,4.849,141.61,2.347,0,1.39358,1.9141,1.3935,1.91414
7,1,20,18:30:00,-0.01,44.7,159.16,4.648,159.55,4.438,0,1.39142,1.91906,1.39225,1.91856
7,1,20,19:00:00,0.12,39.4,218.41,4.053,212.11,0.936,0,1.392,1.92185,1.39158,1.92206
7,1,20,19:30:00,-0.04,40.2,219.99,2.724,222,2.016,0,1.39233,1.92114,1.39279,1.92148
7,1,20,20:00:00,-0.01,35.8,242.59,2.088,243.1,1.528,0,1.39,1.92318,1.39038,1.92323
7,1,20,20:30:00,0.03,31.5,259.09,5.591,257.31,3.142,0,1.38942,1.92718,1.38917,1.92731
7,1,20,21:00:00,-0.03,29.5,271.12,2.58,272.44,2.396,0,1.38854,1.92877,1.38896,1.92898
7,1,20,21:30:00,-0.02,28.3,279.41,3.039,280.46,3.585,0,1.38879,1.92968,1.38913,1.92964
7,1,20,22:00:00,0.01,27.4,282.51,2.097,281.84,2.308,0,1.38879,1.93093,1.3885,1.93043
7,1,20,22:30:00,-0.01,26.7,288.13,1.732,288.65,2.095,0,1.38879,1.93148,1.38858,1.9316
7,1,20,23:00:00,-0.02,26.5,291.82,1.931,292.87,4.079,0,1.38842,1.9316,1.38892,1.9316
7,1,20,23:30:00,-0.04,25.9,293.41,2.385,295.49,3.495,0,1.38854,1.93243,1.38838,1.93193
7,2,20,0:00:00,-0.12,25.6,295.31,2.865,301.39,2.344,0,1.38854,1.93227,1.3885,1.93223
7,2,20,0:30:00,-0.04,25,295.96,2.929,297.88,1.829,0,1.388,1.9331,1.38825,1.93327
7,2,20,1:00:00,-0.06,24.3,298.92,2.692,302.25,2.797,0,1.38783,1.93331,1.38788,1.9336
7,2,20,1:30:00,-0.04,23.7,300.57,2.965,302.8,1.359,0,1.38771,1.93406,1.38771,1.93402
7,2,20,2:00:00,0,23.4,305.24,5.082,305.18,3.077,0,1.38842,1.93435,1.3875,1.93406
7,2,20,2:30:00,-0.11,23,303.32,1.229,309.08,3.147,0,1.38729,1.93452,1.38775,1.93468
7,2,20,3:00:00,-0.04,22.5,306.71,3.89,308.71,4.621,0,1.38742,1.93539,1.38754,1.93531
7,2,20,3:30:00,-0.14,22.4,307.49,4.678,314.51,1.474,0,1.38783,1.93573,1.38796,1.93552
7,2,20,4:00:00,-0.08,22.1,312.93,2.992,317.14,0.886,0,1.38771,1.93564,1.38779,1.93523
7,2,20,4:30:00,-0.07,22.2,313.31,3.204,316.86,0.768,0,1.38821,1.93589,1.38846,1.93627
7,2,20,5:00:00,-0.07,22,314.9,3.099,318.35,2.939,0,1.388,1.93568,1.38792,1.93573
7,2,20,5:30:00,-0.08,21.7,314.79,2.578,318.87,2.259,0,1.38763,1.93602,1.38767,1.93589
7,2,20,6:00:00,-0.02,21.8,319.07,2.865,320.1,2.435,0,1.38838,1.93627,1.3885,1.9361
7,2,20,6:30:00,-0.18,22.9,317.74,2.768,327.09,4.392,0,1.38908,1.93568,1.389,1.93523
7,2,20,7:00:00,-0.28,27.8,309.13,3.217,323.77,8.928,0,1.39217,1.93185,1.39233,1.93235
7,2,20,7:30:00,-0.16,27.6,304.08,2.171,312.23,4.854,0,1.39096,1.93164,1.39092,1.93168
7,2,20,8:00:00,-0.28,32.7,285.38,1.856,299.77,6.684,0,1.39358,1.92814,1.39329,1.92777
7,2,20,8:30:00,-0.18,36.1,262.07,4.905,271.18,6.66,0,1.39392,1.92585,1.39388,1.92581
7,2,20,9:00:00,-0.12,38.2,248.85,2.788,254.87,5.917,0,1.39421,1.92385,1.39404,1.92402
7,2,20,9:30:00,-0.16,39.7,234.14,4.442,242.56,8.042,0,1.39483,1.92318,1.39458,1.92327
7,2,20,10:00:00,-0.11,40.9,222.43,1.961,228.04,4.423,0,1.39454,1.92243,1.39438,1.92243
