Stn Id,Stn Name,CIMIS Region,Date,Hour ,DOY,ETo ,qc,Precip,qc,Sol Rad ,qc,Net Rad ,qc,Vap Pres ,qc,Air Temp ,qc,Rel Hum ,qc,Dew Point,qc,Wind Speed,qc,Res Wind Speed (m/s),qc,Wind Dir ,qc,Wind Dir Std Dev,qc,Soil Temp ,qc,PM ETo ,qc,PM ETr ,qc,Exp 1,Exp 2
,,,,(PST),,(mm),, (mm),,(W/sq.m),,(W/sq.m),,(kPa),,(C),,(%),, (C),, (m/s),,,,(0-360),,,,(C),,(mm),,(mm),,,
170,Concord,San Francisco Bay,7/1/2019,100,182,0, ,0, ,0, ,-40, ,1.4, ,14.6, ,82, ,11.7, ,2.2, ,1.9, ,190, ,27, ,20.8, ,0.01, ,,N,82.3,12.6
170,Concord,San Francisco Bay,7/1/2019,200,182,0, ,0, ,0, ,-40, ,1.4, ,14.2, ,84, ,11.5, ,2, ,1.6, ,208, ,37, ,20.7, ,0, ,,N,84.2,12.5
170,Concord,San Francisco Bay,7/1/2019,300,182,0, ,0, ,0, ,-40, ,1.4, ,14, ,85, ,11.4, ,2.2, ,1.9, ,211, ,30, ,20.5, ,0, ,,N,84.8,12.5
170,Concord,San Francisco Bay,7/1/2019,400,182,0, ,0, ,0, ,-40, ,1.4, ,13.9, ,85, ,11.5, ,2, ,1.6, ,213, ,37, ,20.4, ,0, ,,N,85.4,12.5
170,Concord,San Francisco Bay,7/1/2019,500,182,0, ,0, ,3, ,-38, ,1.4, ,13.7, ,87, ,11.7, ,2, ,1.6, ,192, ,36, ,20.2, ,0, ,,N,87.4,12.5
170,Concord,San Francisco Bay,7/1/2019,600,182,0, ,0, ,31, ,-17, ,1.4, ,14, ,87, ,11.8, ,2.1, ,1.6, ,199, ,39, ,20.1, ,0.01, ,,N,86.7,12.6
170,Concord,San Francisco Bay,7/1/2019,700,182,0.15, ,0, ,247, ,140, ,1.4, ,15.5, ,81, ,12.4, ,2.5, ,1.8, ,216, ,42, ,20, ,0.12, ,,N,81.4,13.5
170,Concord,San Francisco Bay,7/1/2019,800,182,0.28, ,0, ,488, ,257, ,1.5, ,17.3, ,74, ,12.7, ,2.7, ,2, ,201, ,40, ,19.8, ,0.26, ,,N,74.3,13.4
170,Concord,San Francisco Bay,7/1/2019,900,182,0.43, ,0, ,676, ,389, ,1.5, ,19.6, ,64, ,12.7, ,2.6, ,2.2, ,198, ,31, ,19.7, ,0.41, ,,N,64.3,13.3
170,Concord,San Francisco Bay,7/1/2019,1000,182,0.58, ,0, ,828, ,497, ,1.5, ,22.4, ,55, ,12.8, ,2.3, ,1.8, ,221, ,36, ,19.6, ,0.54, ,,N,54.9,13.3
170,Concord,San Francisco Bay,7/1/2019,1100,182,0.69, ,0, ,942, ,579, ,1.4, ,24.6, ,46, ,12.3, ,2.2, ,1.4, ,246, ,48, ,19.6, ,0.66, ,,N,46.5,13.2
170,Concord,San Francisco Bay,7/1/2019,1200,182,0.79, ,0, ,1011, ,627, ,1.4, ,25.9, ,41, ,11.5, ,2.7, ,2.5, ,304, ,24, ,19.6, ,0.74, ,,N,40.6,13.2
170,Concord,San Francisco Bay,7/1/2019,1300,182,0.8, ,0, ,1007, ,621, ,1.3, ,27.1, ,38, ,11.3, ,2.7, ,2.3, ,295, ,28, ,19.7, ,0.76, ,,N,37.6,13.2
170,Concord,San Francisco Bay,7/1/2019,1400,182,0.75, ,0, ,929, ,561, ,1.3, ,27.8, ,34, ,10.3, ,2.9, ,2.5, ,285, ,31, ,19.9, ,0.73, ,,N,33.7,13.2
170,Concord,San Francisco Bay,7/1/2019,1500,182,0.7, ,0, ,847, ,499, ,1.2, ,28.3, ,30, ,9.2, ,3.1, ,2.7, ,294, ,26, ,20.1, ,0.69, ,,N,30.3,13.2
170,Concord,San Francisco Bay,7/1/2019,1600,182,0.58, ,0, ,673, ,407, ,1.1, ,27.5, ,30, ,8.5, ,2.9, ,2.4, ,281, ,32, ,20.4, ,0.56, ,,N,30.4,13.2
170,Concord,San Francisco Bay,7/1/2019,1700,182,0.44, ,0, ,536, ,303, ,1.1, ,27.1, ,30, ,8, ,2.4, ,2, ,255, ,33, ,20.6, ,0.44, ,,N,30,13.2
170,Concord,San Francisco Bay,7/1/2019,1800,182,0.29, ,0, ,332, ,184, ,1.3, ,25.1, ,40, ,10.7, ,2.4, ,1.9, ,220, ,36, ,20.9, ,0.29, ,,N,40.7,13.2
170,Concord,San Francisco Bay,7/1/2019,1900,182,0.14, ,0, ,125, ,75, ,1.4, ,21.5, ,55, ,12.1, ,2.5, ,2.1, ,196, ,33, ,21, ,0.13, ,,N,55,12.9
170,Concord,San Francisco Bay,7/1/2019,2000,182,0.03, ,0, ,7, ,-28, ,1.4, ,18.8, ,64, ,11.8, ,2.5, ,2.1, ,204, ,32, ,21.1, ,0.04, ,,N,63.8,12.8
170,Concord,San Francisco Bay,7/1/2019,2100,182,0.02, ,0, ,0, ,-33, ,1.4, ,17.5, ,68, ,11.4, ,2.1, ,1.8, ,188, ,34, ,21.2, ,0.02, ,,N,67.7,12.7
170,Concord,San Francisco Bay,7/1/2019,2200,182,0.01, ,0, ,0, ,-33, ,1.4, ,16.3, ,73, ,11.5, ,1.9, ,1.5, ,188, ,33, ,21.2, ,0.01, ,,N,73,12.6
170,Concord,San Francisco Bay,7/1/2019,2300,182,0, ,0, ,0, ,-32, ,1.4, ,15.8, ,77, ,11.7, ,1.8, ,1.4, ,183, ,38, ,21.1, ,0.01, ,,N,76.5,12.6
170,Concord,San Francisco Bay,7/1/2019,2400,182,0, ,0, ,0, ,-32, ,1.4, ,15.4, ,80, ,11.9, ,1.7, ,1.3, ,177, ,38, ,21, ,0.01, ,,N,79.5,12.6
170,Concord,San Francisco Bay,7/2/2019,100,183,0, ,0, ,0, ,-40, ,1.4, ,15.2, ,81, ,11.9, ,1.5, ,1.1, ,171, ,42, ,20.9, ,0, ,,N,80.7,12.6
170,Concord,San Francisco Bay,7/2/2019,200,183,0, ,0, ,0, ,-40, ,1.4, ,15.3, ,79, ,11.6, ,1.8, ,1.5, ,192, ,34, ,20.8, ,0.01, ,,N,79,12.6
170,Concord,San Francisco Bay,7/2/2019,300,183,0, ,0, ,0, ,-40, ,1.3, ,15, ,79, ,11.4, ,1.8, ,1.6, ,163, ,31, ,20.6, ,0.01, ,,N,78.7,12.6
170,Concord,San Francisco Bay,7/2/2019,400,183,0, ,0, ,0, ,-40, ,1.3, ,14.8, ,80, ,11.3, ,1.5, ,1.1, ,183, ,41, ,20.5, ,0, ,,N,79.6,12.6
170,Concord,San Francisco Bay,7/2/2019,500,183,0, ,0, ,2, ,-39, ,1.3, ,14.5, ,79, ,10.9, ,1.3, ,0.8, ,156, ,50, ,20.3, ,0, ,,N,79.1,12.6
170,Concord,San Francisco Bay,7/2/2019,600,183,0, ,0, ,21, ,-25, ,1.3, ,14.8, ,77, ,10.8, ,1.3, ,0.9, ,171, ,47, ,20.2, ,0.01, ,,N,77.4,12.6
170,Concord,San Francisco Bay,7/2/2019,700,183,0.16, ,0, ,243, ,137, ,1.3, ,16.8, ,70, ,11.3, ,2.2, ,1.9, ,203, ,31, ,20.1, ,0.14, ,,N,69.9,13.5
170,Concord,San Francisco Bay,7/2/2019,800,183,0.3, ,0, ,477, ,264, ,1.4, ,19, ,63, ,11.9, ,2.2, ,2, ,200, ,29, ,19.9, ,0.29, ,,N,63.4,13.4
170,Concord,San Francisco Bay,7/2/2019,900,183,0.44, ,0, ,663, ,376, ,1.4, ,21.5, ,54, ,11.7, ,2, ,1.6, ,216, ,34, ,19.8, ,0.43, ,,N,53.8,13.3
170,Concord,San Francisco Bay,7/2/2019,1000,183,0.58, ,0, ,819, ,487, ,1.4, ,23.6, ,46, ,11.5, ,1.9, ,1.2, ,239, ,50, ,19.7, ,0.56, ,,N,46.4,13.2
170,Concord,San Francisco Bay,7/2/2019,1100,183,0.68, ,0, ,932, ,569, ,1.4, ,25.1, ,43, ,11.8, ,1.8, ,1.1, ,261, ,52, ,19.7, ,0.66, ,,N,43.4,13.2
170,Concord,San Francisco Bay,7/2/2019,1200,183,0.76, ,0, ,993, ,612, ,1.4, ,26.4, ,40, ,11.5, ,2.1, ,1.3, ,251, ,49, ,19.7, ,0.72, ,,N,39.5,13.2
170,Concord,San Francisco Bay,7/2/2019,1300,183,0.79, ,0, ,1000, ,616, ,1.4, ,27.3, ,38, ,11.7, ,2.5, ,1.9, ,206, ,38, ,19.8, ,0.75, ,,N,37.9,13.2
170,Concord,San Francisco Bay,7/2/2019,1400,183,0.77, ,0, ,963, ,589, ,1.3, ,27.2, ,37, ,11.2, ,2.8, ,2.3, ,201, ,34, ,20, ,0.74, ,,N,36.8,13.2
170,Concord,San Francisco Bay,7/2/2019,1500,183,0.66, ,0, ,805, ,502, ,1.4, ,26.5, ,39, ,11.6, ,2.9, ,2.4, ,196, ,30, ,20.2, ,0.62, ,,N,39.4,13.2
170,Concord,San Francisco Bay,7/2/2019,1600,183,0.49, ,0, ,591, ,363, ,1.4, ,25.1, ,44, ,11.9, ,2.9, ,2.4, ,191, ,32, ,20.5, ,0.47, ,,N,43.8,13.2
170,Concord,San Francisco Bay,7/2/2019,1700,183,0.38, ,0, ,458, ,273, ,1.4, ,24.4, ,47, ,12.3, ,2.8, ,2.5, ,193, ,26, ,20.7, ,0.37, ,,N,46.6,13.2
170,Concord,San Francisco Bay,7/2/2019,1800,183,0.18, ,0, ,190, ,109, ,1.4, ,21.4, ,56, ,12.3, ,2.8, ,2.3, ,192, ,33, ,20.9, ,0.19, ,,N,56.3,13.3
170,Concord,San Francisco Bay,7/2/2019,1900,183,0.12, ,0, ,89, ,66, ,1.4, ,20.1, ,60, ,12, ,2.3, ,1.9, ,200, ,36, ,21.1, ,0.11, ,,N,59.6,13
170,Concord,San Francisco Bay,7/2/2019,2000,183,0.03, ,0, ,7, ,-19, ,1.4, ,18.5, ,65, ,11.9, ,2, ,1.6, ,188, ,36, ,21.2, ,0.03, ,,N,65.2,12.8
170,Concord,San Francisco Bay,7/2/2019,2100,183,0.02, ,0, ,0, ,-25, ,1.4, ,17.5, ,69, ,11.8, ,2.1, ,1.8, ,192, ,31, ,21.2, ,0.02, ,,N,69.4,12.7
170,Concord,San Francisco Bay,7/2/2019,2200,183,0.01, ,0, ,0, ,-24, ,1.4, ,16.6, ,74, ,12, ,1.8, ,1.6, ,180, ,32, ,21.1, ,0.01, ,,N,74.2,12.6
170,Concord,San Francisco Bay,7/2/2019,2300,183,0.01, ,0, ,0, ,-24, ,1.4, ,16.2, ,76, ,11.9, ,1.9, ,1.5, ,192, ,35, ,21.1, ,0.01, ,,N,75.9,12.6
170,Concord,San Francisco Bay,7/2/2019,2400,183,0.01, ,0, ,0, ,-24, ,1.4, ,15.6, ,78, ,11.8, ,1.9, ,1.3, ,191, ,43, ,21, ,0.01, ,,N,78.4,12.6
170,Concord,San Francisco Bay,7/3/2019,100,184,0, ,0, ,0, ,-38, ,1.4, ,15.1, ,80, ,11.7, ,2.1, ,1.9, ,196, ,28, ,20.8, ,0.01, ,,N,79.9,12.6
170,Concord,San Francisco Bay,7/3/2019,200,184,0, ,0, ,0, ,-38, ,1.4, ,14.8, ,81, ,11.6, ,2, ,1.6, ,207, ,36, ,20.7, ,0.01, ,,N,80.9,12.6
170,Concord,San Francisco Bay,7/3/2019,300,184,0, ,0, ,0, ,-38, ,1.4, ,14.3, ,83, ,11.5, ,2.2, ,1.9, ,207, ,32, ,20.6, ,0.01, ,,N,83.1,12.6
170,Concord,San Francisco Bay,7/3/2019,400,184,0, ,0, ,0, ,-38, ,1.4, ,14, ,84, ,11.4, ,2.1, ,1.7, ,207, ,35, ,20.5, ,0, ,,N,84.4,12.5
170,Concord,San Francisco Bay,7/3/2019,500,184,0, ,0, ,2, ,-37, ,1.3, ,13.6, ,85, ,11.2, ,2, ,1.7, ,203, ,29, ,20.3, ,0, ,,N,85.3,12.5
170,Concord,San Francisco Bay,7/3/2019,600,184,0, ,0, ,23, ,-21, ,1.3, ,13.8, ,84, ,11.2, ,2.1, ,1.7, ,182, ,34, ,20.2, ,0.01, ,,N,84.3,12.6
170,Concord,San Francisco Bay,7/3/2019,700,184,0.15, ,0, ,236, ,135, ,1.4, ,15.2, ,79, ,11.6, ,2.3, ,2.2, ,193, ,21, ,20.1, ,0.12, ,,N,78.9,13.5
170,Concord,San Francisco Bay,7/3/2019,800,184,0.29, ,0, ,467, ,266, ,1.4, ,17.6, ,70, ,12.1, ,2.3, ,2, ,196, ,28, ,19.9, ,0.26, ,,N,70.5,13.4
170,Concord,San Francisco Bay,7/3/2019,900,184,0.42, ,0, ,651, ,368, ,1.4, ,19.9, ,61, ,12.1, ,2.3, ,1.8, ,197, ,38, ,19.8, ,0.4, ,,N,61,13.3
170,Concord,San Francisco Bay,7/3/2019,1000,184,0.55, ,0, ,803, ,478, ,1.5, ,22.4, ,54, ,12.7, ,2, ,1.7, ,202, ,33, ,19.7, ,0.53, ,,N,54.4,13.3
170,Concord,San Francisco Bay,7/3/2019,1100,184,0.66, ,0, ,915, ,558, ,1.5, ,24.7, ,48, ,13.1, ,1.8, ,1.2, ,209, ,47, ,19.7, ,0.63, ,,N,48.4,13.2
170,Concord,San Francisco Bay,7/3/2019,1200,184,0.73, ,0, ,974, ,600, ,1.5, ,26.1, ,46, ,13.5, ,2.1, ,1.7, ,310, ,34, ,19.7, ,0.7, ,,N,45.7,13.2
170,Concord,San Francisco Bay,7/3/2019,1300,184,0.76, ,0, ,982, ,605, ,1.6, ,27.7, ,42, ,13.6, ,2.1, ,1.5, ,298, ,45, ,19.8, ,0.73, ,,N,41.8,13.2
170,Concord,San Francisco Bay,7/3/2019,1400,184,0.75, ,0, ,939, ,573, ,1.5, ,28.2, ,40, ,13.3, ,2.8, ,2.5, ,299, ,29, ,20, ,0.73, ,,N,39.9,13.2
170,Concord,San Francisco Bay,7/3/2019,1500,184,0.68, ,0, ,845, ,503, ,1.5, ,29, ,37, ,13, ,2.6, ,2.1, ,298, ,33, ,20.2, ,0.67, ,,N,37.3,13.2
170,Concord,San Francisco Bay,7/3/2019,1600,184,0.57, ,0, ,703, ,414, ,1.4, ,29, ,35, ,12.2, ,2.3, ,1.5, ,258, ,48, ,20.5, ,0.57, ,,N,35.5,13.2
170,Concord,San Francisco Bay,7/3/2019,1700,184,0.44, ,0, ,531, ,307, ,1.4, ,27.2, ,39, ,12, ,2.5, ,2.2, ,206, ,29, ,20.8, ,0.43, ,,N,39,13.2
170,Concord,San Francisco Bay,7/3/2019,1800,184,0.27, ,0, ,331, ,185, ,1.4, ,24.8, ,46, ,12.4, ,2.2, ,1.8, ,205, ,36, ,21, ,0.27, ,,N,45.9,13.2
170,Concord,San Francisco Bay,7/3/2019,1900,184,0.13, ,0, ,123, ,74, ,1.4, ,20.9, ,58, ,12.2, ,2.6, ,2.2, ,200, ,31, ,21.2, ,0.13, ,,N,57.7,12.9
170,Concord,San Francisco Bay,7/3/2019,2000,184,0.03, ,0, ,7, ,-27, ,1.4, ,18, ,66, ,11.6, ,2.5, ,2.2, ,193, ,26, ,21.3, ,0.03, ,,N,66.5,12.7
170,Concord,San Francisco Bay,7/3/2019,2100,184,0.01, ,0, ,0, ,-32, ,1.4, ,16.1, ,76, ,11.7, ,2.2, ,1.9, ,191, ,28, ,21.3, ,0.01, ,,N,75.6,12.7
170,Concord,San Francisco Bay,7/3/2019,2200,184,0, ,0, ,0, ,-32, ,1.4, ,15.3, ,79, ,11.8, ,2, ,1.4, ,189, ,41, ,21.3, ,0.01, ,,N,79.3,12.6
170,Concord,San Francisco Bay,7/3/2019,2300,184,0, ,0, ,0, ,-31, ,1.4, ,15.1, ,81, ,11.9, ,2, ,1.6, ,189, ,34, ,21.3, ,0.01, ,,N,81.3,12.6
170,Concord,San Francisco Bay,7/3/2019,2400,184,0, ,0, ,0, ,-31, ,1.4, ,14.8, ,83, ,12, ,1.7, ,1.3, ,192, ,41, ,21.2, ,0, ,,N,83.2,12.6
170,Concord,San Francisco Bay,7/4/2019,100,185,0, ,0, ,0, ,-38, ,1.4, ,14.3, ,85, ,11.9, ,1.7, ,1.2, ,199, ,45, ,21, ,0, ,,N,85.4,12.6
170,Concord,San Francisco Bay,7/4/2019,200,185,0, ,0, ,0, ,-38, ,1.4, ,14.1, ,86, ,11.8, ,1.8, ,1.3, ,202, ,43, ,20.9, ,0, ,,N,86.4,12.5
170,Concord,San Francisco Bay,7/4/2019,300,185,0, ,0, ,0, ,-38, ,1.4, ,14.1, ,86, ,11.8, ,1.7, ,1.3, ,203, ,40, ,20.8, ,0, ,,N,85.6,12.5
170,Concord,San Francisco Bay,7/4/2019,400,185,0, ,0, ,0, ,-38, ,1.4, ,14, ,86, ,11.7, ,1.6, ,1.1, ,219, ,47, ,20.6, ,0, ,,N,86.4,12.5
170,Concord,San Francisco Bay,7/4/2019,500,185,0, ,0, ,2, ,-36, ,1.4, ,13.9, ,86, ,11.7, ,1.8, ,1.5, ,210, ,37, ,20.5, ,0, ,,N,86.4,12.5
170,Concord,San Francisco Bay,7/4/2019,600,185,0, ,0, ,25, ,-19, ,1.4, ,14.1, ,87, ,11.9, ,1.9, ,1.6, ,203, ,33, ,20.3, ,0.01, ,,N,86.8,12.6
170,Concord,San Francisco Bay,7/4/2019,700,185,0.14, ,0, ,233, ,133, ,1.4, ,15.6, ,82, ,12.5, ,2.2, ,1.8, ,194, ,34, ,20.2, ,0.12, ,,N,81.6,13.5
170,Concord,San Francisco Bay,7/4/2019,800,185,0.29, ,0, ,467, ,266, ,1.5, ,17.6, ,73, ,12.8, ,2.3, ,1.9, ,202, ,34, ,20, ,0.26, ,,N,73.4,13.4
170,Concord,San Francisco Bay,7/4/2019,900,185,0.41, ,0, ,653, ,371, ,1.5, ,19.7, ,65, ,12.8, ,2.4, ,2, ,180, ,31, ,19.9, ,0.39, ,,N,64.8,13.3
170,Concord,San Francisco Bay,7/4/2019,1000,185,0.55, ,0, ,804, ,479, ,1.5, ,22.1, ,57, ,13.2, ,2, ,1.5, ,190, ,40, ,19.8, ,0.52, ,,N,56.9,13.3
170,Concord,San Francisco Bay,7/4/2019,1100,185,0.66, ,0, ,917, ,561, ,1.5, ,24.7, ,50, ,13.4, ,1.5, ,0.9, ,238, ,52, ,19.8, ,0.63, ,,N,49.7,13.2
170,Concord,San Francisco Bay,7/4/2019,1200,185,0.73, ,0, ,976, ,603, ,1.6, ,26.1, ,48, ,14.3, ,2, ,1.5, ,314, ,41, ,19.8, ,0.7, ,,N,48,13.2
170,Concord,San Francisco Bay,7/4/2019,1300,185,0.76, ,0, ,983, ,608, ,1.7, ,26.6, ,48, ,14.5, ,2.5, ,2.2, ,321, ,27, ,19.9, ,0.72, ,,N,47.5,13.2
170,Concord,San Francisco Bay,7/4/2019,1400,185,0.74, ,0, ,939, ,575, ,1.6, ,27.7, ,43, ,14.1, ,2.6, ,2.4, ,315, ,22, ,20.1, ,0.71, ,,N,43.3,13.2
170,Concord,San Francisco Bay,7/4/2019,1500,185,0.68, ,0, ,842, ,503, ,1.6, ,29.2, ,39, ,14, ,2.6, ,2.5, ,314, ,21, ,20.3, ,0.67, ,,N,39.4,13.2
170,Concord,San Francisco Bay,7/4/2019,1600,185,0.59, ,0, ,697, ,418, ,1.6, ,29.5, ,39, ,14, ,2.9, ,2.6, ,308, ,26, ,20.6, ,0.58, ,,N,38.9,13.2
170,Concord,San Francisco Bay,7/4/2019,1700,185,0.45, ,0, ,515, ,303, ,1.7, ,28.9, ,42, ,14.7, ,2.8, ,2.5, ,306, ,24, ,20.9, ,0.45, ,,N,41.9,13.2
170,Concord,San Francisco Bay,7/4/2019,1800,185,0.3, ,0, ,320, ,181, ,1.6, ,27.4, ,44, ,14.2, ,2.8, ,2.6, ,307, ,20, ,21.1, ,0.3, ,,N,44.3,13.1
170,Concord,San Francisco Bay,7/4/2019,1900,185,0.14, ,0, ,116, ,71, ,1.5, ,26.1, ,45, ,13.3, ,1.8, ,1.5, ,270, ,32, ,21.3, ,0.14, ,,N,45.2,12.9
170,Concord,San Francisco Bay,7/4/2019,2000,185,0.04, ,0, ,8, ,-26, ,1.5, ,23.2, ,53, ,13, ,1.4, ,0.8, ,202, ,50, ,21.4, ,0.03, ,,N,52.8,12.8
170,Concord,San Francisco Bay,7/4/2019,2100,185,0.03, ,0, ,0, ,-31, ,1.4, ,20.7, ,59, ,12.4, ,1.4, ,1.1, ,216, ,36, ,21.5, ,0.02, ,,N,59,12.7
170,Concord,San Francisco Bay,7/4/2019,2200,185,0.02, ,0, ,0, ,-31, ,1.4, ,19.1, ,63, ,12, ,1.2, ,0.7, ,212, ,52, ,21.5, ,0.01, ,,N,63.4,12.6
170,Concord,San Francisco Bay,7/4/2019,2300,185,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,N,,
170,Concord,San Francisco Bay,7/4/2019,2400,185,0, ,0, ,0, ,-29, ,1.5, ,15.5, ,85, ,13, ,0.8, ,0.7, ,349, ,24, ,21.3, ,0, ,,N,85.1,12.5
170,Concord,San Francisco Bay,7/5/2019,100,186,0, ,0, ,0, ,-67, ,1.5, ,16, ,80, ,12.5, ,1.4, ,1.1, ,228, ,37, ,21.2, ,0, ,,N,79.7,12.4
170,Concord,San Francisco Bay,7/5/2019,200,186,0, ,0, ,0, ,-67, ,1.4, ,15.8, ,80, ,12.4, ,1.4, ,1.1, ,234, ,38, ,21.2, ,0, ,,N,80.2,12.4
170,Concord,San Francisco Bay,7/5/2019,300,186,0, ,0, ,0, ,-66, ,1.5, ,15.2, ,84, ,12.5, ,1.6, ,1.3, ,202, ,35, ,21, ,0, ,,N,84,12.4
170,Concord,San Francisco Bay,7/5/2019,400,186,0, ,0, ,0, ,-66, ,1.4, ,14.6, ,86, ,12.3, ,1.7, ,1.2, ,207, ,41, ,20.8, ,0, ,,N,85.7,12.4
170,Concord,San Francisco Bay,7/5/2019,500,186,0, ,0, ,4, ,-63, ,1.4, ,14.4, ,87, ,12.2, ,1.3, ,1, ,239, ,39, ,20.7, ,0, ,,N,87.1,12.3
170,Concord,San Francisco Bay,7/5/2019,600,186,0, ,0, ,26, ,-47, ,1.5, ,14.6, ,88, ,12.6, ,1.5, ,1.1, ,232, ,41, ,20.6, ,0, ,,N,87.8,12.3
170,Concord,San Francisco Bay,7/5/2019,700,186,0.15, ,0, ,312, ,142, ,1.5, ,16.4, ,80, ,13, ,2.1, ,1.6, ,198, ,42, ,20.4, ,0.15, ,,N,80.3,13.5
170,Concord,San Francisco Bay,7/5/2019,800,186,0.28, ,0, ,472, ,264, ,1.5, ,17.8, ,73, ,13, ,2.2, ,1.8, ,229, ,36, ,20.3, ,0.26, ,,N,73.5,13.4
170,Concord,San Francisco Bay,7/5/2019,900,186,0.42, ,0, ,656, ,373, ,1.5, ,20, ,65, ,13.2, ,2.3, ,1.7, ,213, ,39, ,20.2, ,0.4, ,,N,65.1,13.3
170,Concord,San Francisco Bay,7/5/2019,1000,186,0.55, ,0, ,808, ,483, ,1.5, ,22.5, ,57, ,13.5, ,1.9, ,1.4, ,205, ,42, ,20.1, ,0.53, ,,N,56.7,13.3
170,Concord,San Francisco Bay,7/5/2019,1100,186,0.66, ,0, ,918, ,563, ,1.7, ,24.3, ,54, ,14.6, ,2.1, ,1.6, ,290, ,40, ,20, ,0.63, ,,N,54.5,13.2
170,Concord,San Francisco Bay,7/5/2019,1200,186,0.74, ,0, ,979, ,606, ,1.6, ,25.8, ,49, ,14.4, ,2.5, ,2.3, ,313, ,26, ,20, ,0.7, ,,N,49.5,13.2
170,Concord,San Francisco Bay,7/5/2019,1300,186,0.77, ,0, ,988, ,612, ,1.7, ,27, ,46, ,14.5, ,2.7, ,2.3, ,315, ,29, ,20.1, ,0.73, ,,N,46.3,13.2
170,Concord,San Francisco Bay,7/5/2019,1400,186,0.76, ,0, ,949, ,583, ,1.6, ,28.1, ,43, ,14.4, ,2.9, ,2.6, ,314, ,22, ,20.3, ,0.73, ,,N,43,13.2
170,Concord,San Francisco Bay,7/5/2019,1500,186,0.69, ,0, ,850, ,510, ,1.7, ,29.3, ,41, ,14.6, ,2.9, ,2.7, ,316, ,23, ,20.5, ,0.68, ,,N,40.8,13.2
170,Concord,San Francisco Bay,7/5/2019,1600,186,0.58, ,0, ,706, ,404, ,1.7, ,30.3, ,39, ,14.8, ,2.8, ,2.5, ,308, ,25, ,20.8, ,0.6, ,,N,39.1,13.2
170,Concord,San Francisco Bay,7/5/2019,1700,186,0.47, ,0, ,525, ,306, ,1.6, ,30.2, ,38, ,14.2, ,2.8, ,2.6, ,305, ,24, ,21.1, ,0.47, ,,N,37.6,13.2
170,Concord,San Francisco Bay,7/5/2019,1800,186,0.31, ,0, ,319, ,179, ,1.5, ,29.7, ,35, ,12.5, ,2.4, ,2.2, ,299, ,23, ,21.3, ,0.32, ,,N,34.8,13.1
170,Concord,San Francisco Bay,7/5/2019,1900,186,0.16, ,0, ,114, ,68, ,1.3, ,27.8, ,35, ,10.8, ,2, ,1.7, ,278, ,33, ,21.5, ,0.17, ,,N,34.8,12.8
170,Concord,San Francisco Bay,7/5/2019,2000,186,0.05, ,0, ,7, ,-27, ,1.4, ,23.4, ,47, ,11.5, ,1.5, ,1.3, ,200, ,31, ,21.6, ,0.04, ,,N,47.3,12.7
170,Concord,San Francisco Bay,7/5/2019,2100,186,0.03, ,0, ,0, ,-32, ,1.3, ,20.7, ,54, ,10.9, ,1.3, ,1.1, ,199, ,36, ,21.7, ,0.03, ,,N,53.6,12.7
170,Concord,San Francisco Bay,7/5/2019,2200,186,0.03, ,0, ,0, ,-31, ,1.3, ,18.9, ,61, ,11.2, ,1.9, ,1.6, ,212, ,35, ,21.7, ,0.03, ,,N,61.2,12.6
170,Concord,San Francisco Bay,7/5/2019,2300,186,0.01, ,0, ,0, ,-30, ,1.4, ,17.3, ,68, ,11.4, ,1.4, ,1.1, ,204, ,41, ,21.7, ,0.01, ,,N,68.2,12.6
170,Concord,San Francisco Bay,7/5/2019,2400,186,0.01, ,0, ,0, ,-30, ,1.3, ,16.8, ,69, ,11, ,1.5, ,1.1, ,223, ,44, ,21.6, ,0.01, ,,N,68.6,12.6
170,Concord,San Francisco Bay,7/6/2019,100,187,0, ,0, ,0, ,-57, ,1.3, ,16.1, ,73, ,11.3, ,1.7, ,1.1, ,214, ,46, ,21.5, ,0.01, ,,N,73.5,12.6
170,Concord,San Francisco Bay,7/6/2019,200,187,0, ,0, ,0, ,-56, ,1.4, ,15.3, ,78, ,11.5, ,1.5, ,1, ,213, ,47, ,21.3, ,0.01, ,,N,78.2,12.5
170,Concord,San Francisco Bay,7/6/2019,300,187,0, ,0, ,0, ,-56, ,1.4, ,15.1, ,79, ,11.6, ,1.8, ,1.1, ,225, ,50, ,21.2, ,0.01, ,,N,79.2,12.5
170,Concord,San Francisco Bay,7/6/2019,400,187,0, ,0, ,0, ,-56, ,1.4, ,14.8, ,82, ,11.7, ,1.4, ,1, ,230, ,44, ,21, ,0, ,,N,82.1,12.4
170,Concord,San Francisco Bay,7/6/2019,500,187,0, ,0, ,2, ,-54, ,1.4, ,14.5, ,84, ,11.9, ,1.3, ,1, ,220, ,40, ,20.9, ,0, ,,N,84.5,12.4
170,Concord,San Francisco Bay,7/6/2019,600,187,0.01, ,0, ,49, ,-19, ,1.4, ,15.1, ,81, ,11.9, ,1.6, ,1.4, ,210, ,28, ,20.7, ,0.01, ,,N,81.2,12
170,Concord,San Francisco Bay,7/6/2019,700,187,0.16, ,0, ,280, ,147, ,1.4, ,16.6, ,75, ,12.2, ,1.9, ,1.6, ,232, ,32, ,20.6, ,0.14, ,,N,75.2,13.5
